matrix_index,case_tag,partition_name,partition_basis,matrix_convention,geometry_file,simplified_geometry_file,region_id,population,population_rounded,target_population,population_ratio,area_m2,area_sqmi,population_density_per_sqmi,centroid_x,centroid_y,centroid_lon,centroid_lat
10,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000010,875.9499674775442,876,8432.079434167574,0.1038830307893107,77089308.1309644,29.764348269909075,29.42950269007251,-44451.244902082944,-46013.91224920576,-77.99748362088691,36.58368449657902
11,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000011,546.9080530425531,547,8432.079434167574,0.0648604009618826,77085561.58134572,29.762901719014216,18.375495044327533,43702.44070622198,-46013.66689067177,-77.01089659024682,36.58372113706989
12,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000012,1003.1262708366268,1003,8432.079434167574,0.1189654673759198,77006972.03853616,29.73255812689658,33.73831025757524,-35629.64284869706,-46009.21265966171,-77.89875664100073,36.5840953433959
13,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000013,351.71303429206904,352,8432.079434167574,0.041711304671407,76806025.82924463,29.6549723617382,11.860170699260555,-26818.86174436471,-45997.81728908293,-77.80015006179568,36.58448515196372
14,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000014,326.6005422928262,327,8432.079434167574,0.0387330960106246,76788705.47053558,29.648284933853905,11.015832552253208,-17997.875650557806,-45996.835037478144,-77.70142814637667,36.58470019424013
15,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000015,1220.55320195197,1221,8432.079434167574,0.144751150825996,76638537.77225958,29.590304861406192,41.2484159142241,26044.11221229233,-45989.105729053896,-77.20852039659113,36.58458513988912
16,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000016,827.9152555003785,828,8432.079434167574,0.0981863681389893,76494062.46302876,29.534522632656085,28.03211908307464,-88530.61901392476,-45980.21990104181,-78.4907833908758,36.58093157089152
17,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000017,1490.6211298807448,1491,8432.079434167574,0.1767797779324289,76166614.59352644,29.408094303431117,50.6874438887674,-97321.88092082214,-45961.63566761586,-78.58916451771239,36.58024721911176
18,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000018,820.9501461656812,821,8432.079434167574,0.0973603430298716,76053583.00550586,29.364452563312888,27.957277405244493,-62066.615586474974,-45955.17499579126,-78.19462793227898,36.58323606939603
19,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000019,419.7389159983552,420,8432.079434167574,0.0497788142622961,75885505.49720173,29.299557474554227,14.325776638875368,-79706.55639391988,-45945.59969372215,-78.39203905858663,36.582018235381376
20,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000020,471.2900100971008,471,8432.079434167574,0.05589250122424,75666722.08691773,29.21508472759029,16.131735180354326,-70891.36530233696,-45933.18814544712,-78.29338932763584,36.582822597795165
21,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000021,786.9228814396005,787,8432.079434167574,0.0933248894988957,74522956.20992623,28.773474253616687,27.34890039706234,-106137.4491931908,-45868.39684390669,-78.68782605855618,36.580153338653965
22,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000022,667.0014717050474,667,8432.079434167574,0.0791028449046975,73682911.0380531,28.44913099948331,23.445407584406052,-114951.8477725734,-45820.74453815509,-78.78646739404547,36.5795671149587
23,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000023,952.6767733453128,953,8432.079434167574,0.1129824239421865,72747259.7562927,28.08787401995261,33.91772451943374,52397.78572498984,-45779.8826349248,-76.91356747328301,36.58539538294846
24,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000024,765.4225868647709,765,8432.079434167574,0.0907750683376163,72399864.91492482,27.953744121833964,27.381755500398917,-123765.2913125156,-45747.98108048663,-78.8851004789244,36.5791266073988
25,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000025,960.2054245751684,960,8432.079434167574,0.113875282137918,71161727.51045585,27.475696597396357,34.947446051874046,-132581.5737899666,-45677.72490306133,-78.98376368559067,36.57858206059014
26,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000026,629.8326097512289,630,8432.079434167574,0.0746948145672215,70136596.39848077,27.07989126227376,23.25831384074565,-141398.83715328702,-45619.54606034698,-79.0824341812262,36.57784730711597
27,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000027,765.9485716863952,766,8432.079434167574,0.0908374473540536,69422117.01773944,26.804029231135463,28.57587436133192,61333.59050242925,-45578.97590566362,-76.8135457093591,36.5866786479219
28,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000028,1459.7881686773085,1460,8432.079434167574,0.1731231518956178,69192755.26388279,26.715472162884325,54.64205011152246,70140.12553956706,-45565.98550044047,-76.71498458146978,36.586192032927976
29,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000029,547.7171397050435,548,8432.079434167574,0.0649563543585278,68960856.90234265,26.62593570493122,20.57081282606734,-150211.19357044072,-45552.881752196605,-79.18104946260094,36.5771088174823
30,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000030,763.4381734108686,763,8432.079434167574,0.090539727403106,68542732.93325293,26.464497137927346,28.847635737493547,78954.25090202395,-45529.118676636455,-76.61633739898438,36.58583939364551
31,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000031,2504.203174343628,2504,8432.079434167574,0.296985244730542,67965203.25953522,26.241511684282624,95.42907453169026,-159018.61770629082,-45496.53461450793,-79.27960546983333,36.576197049392974
32,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000032,190.43404137582584,190,8432.079434167574,0.0225844695679892,67881761.27349067,26.209294553357758,7.265897255957572,87767.6717015061,-45491.63779211801,-76.51769902494149,36.58541132559015
33,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000033,147.13673094696836,147,8432.079434167574,0.0174496376719076,67085350.06207737,25.90179846554368,5.680560411382228,96581.69159829905,-45446.46950013224,-76.41905416964414,36.584971556477576
34,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000034,904.079641461604,904,8432.079434167574,0.1072190612671636,66259072.91151997,25.58277107415916,35.33939458086319,105395.6312533734,-45399.608600362255,-76.3204111948325,36.5844660398566
35,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000035,4686.411570764301,4686,8432.079434167574,0.5557836127319347,65350582.484267,25.23200095918164,185.73285481185624,114208.49688608202,-45348.09854291496,-76.22178093159822,36.58392158017123
36,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000036,1165.4881826506748,1165,8432.079434167574,0.1382207309300251,64226614.049895,24.79803432053704,46.9992164534368,123021.24445899473,-45284.36993990294,-76.12315152286106,36.58340639715252
37,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000037,0.0,0,8432.079434167574,0.0,43137538.9558648,16.655496905068244,0.0,148208.95120878008,-45248.93956604014,-75.84129544605508,36.58016332652712
38,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000038,1258.119173776557,1258,8432.079434167574,0.1492062762927185,63529880.13260151,24.529023851140288,51.29104123391648,-185451.4922528365,-45245.2360247889,-79.57539659397976,36.57371660446024
39,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000039,1170.411740334344,1170,8432.079434167574,0.1388046388168173,63109028.90024271,24.366532281901307,48.03357846712103,131837.26778260825,-45220.95789486214,-76.02448691526814,36.58280689838833
40,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000040,62.99999999999999,63,8432.079434167574,0.0074714666164929,61830039.69168419,23.872711787724366,2.6389963804780376,140650.06871014868,-45148.4359544379,-75.92585832595702,36.58220901868527
41,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000041,934.1502593178826,934,8432.079434167574,0.1107852774171716,61234525.18443557,23.64278235103233,39.51101209021171,-194270.36588133936,-45114.89412781328,-79.67408937145328,36.57314653668839
42,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000042,1204.3714530849425,1204,8432.079434167574,0.1428320810409727,59036031.819394894,22.793939317248885,52.83735454071149,-203082.52364785585,-44990.24764136936,-79.77270398049929,36.57244537647218
43,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000043,3225.012499841057,3225,8432.079434167574,0.3824694163545241,56801211.43869891,21.931070344307518,147.05221629450247,-211897.34990217435,-44863.46386623724,-79.87134715365904,36.57168191612482
44,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000044,894.7772224987092,895,8432.079434167574,0.1061158436047208,54932215.230420925,21.209446873983737,42.18767362558025,-220717.7517433997,-44757.29920649199,-79.970044781503,36.57065008564856
45,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000045,666.4902254464444,666,8432.079434167574,0.079042213803841,52892563.84333023,20.421933070753926,32.63600086913022,-229523.82295854235,-44641.80816437531,-80.06858216956952,36.56962470087937
46,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000046,3075.394809855181,3075,8432.079434167574,0.3647255500693451,4194305.946644599,1.6194305795868962,1899.0593660641443,-171157.15480363264,-44496.101348539065,-79.41563724924463,36.583135004358255
47,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000047,3501.9426005720857,3502,8432.079434167574,0.4153118608420465,4194305.946644599,1.6194305795868962,2162.453052767105,-168953.46977466866,-44496.101348539065,-79.39097931888776,36.58352588584573
48,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000048,643.6964595876093,644,8432.079434167574,0.0763389937930721,50233918.45796237,19.39542434866448,33.18805755502496,-238323.09269165515,-44491.506346446746,-80.167051518588,36.56883421197448
49,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000049,959.3388409173236,959,8432.079434167574,0.1137725099018864,47156546.544548005,18.2072444102573,52.68995237834381,-247137.90979960744,-44316.9083665971,-80.26570043011341,36.56817815886016
50,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000050,683.7274862477577,684,8432.079434167574,0.0810864617187108,41812680.899895325,16.143966349896083,42.35188995250593,-255880.73079616664,-44018.00336460723,-80.36358347094922,36.56858174573383
51,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000051,494.5186819775477,495,8432.079434167574,0.0586472987877357,35062247.04135216,13.537609266014554,36.52924768769996,-264671.05329184426,-43636.22739773385,-80.4620270499964,36.5696400463934
52,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000052,3723.2373685470047,3723,8432.079434167574,0.4415562492758428,16777223.78657836,6.477722318347571,574.7756982421532,-165647.94223122267,-43544.44403555717,-79.35419587270614,36.59269057887632
53,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000053,1218.0123578125667,1218,8432.079434167574,0.1444498201567061,16414259.87613479,6.337581169052302,192.18883755846295,-178870.05240500657,-43503.267108538,-79.50216772670055,36.59068622851356
54,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000054,4292.232099416233,4292,8432.079434167574,0.5090360133496499,16414259.87613479,6.337581169052302,677.2666077045411,-174462.68234707855,-43503.267108538,-79.45284772127651,36.591498462294574
55,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000055,632.8779427099201,633,8432.079434167574,0.0750559749408241,28339597.597819388,10.941979804742378,57.83943619011468,-273466.17329033255,-43255.20377668752,-80.56052658476304,36.57060947028194
56,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000056,1146.0005366224218,1146,8432.079434167574,0.1359095992358326,22137844.70822697,8.547469627323897,134.07482993083414,-282199.35936809675,-42908.51897058039,-80.65832326911051,36.571206540864885
57,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000057,452.4242226745208,452,8432.079434167574,0.053655118669928,18204503.251710974,7.028798000678581,64.36722504058908,-291239.63998260774,-42674.14779205391,-80.75951346948546,36.57061757724004
58,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000058,1622.978169339723,1623,8432.079434167574,0.1924766224050575,4194305.946644583,1.61943057958689,1002.19064021487,-171157.15480363264,-42592.78672257527,-79.41605866479796,36.60031050543343
59,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000059,4030.839482490027,4031,8432.079434167574,0.4780362322200961,4194305.946644583,1.61943057958689,2489.047405488834,-168953.46977466863,-42592.78672257527,-79.39139531279035,36.60070147111882
60,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000060,137.5133921327,138,8432.079434167574,0.0163083606133361,16460654.210763805,6.3554941217967045,21.636931684207877,-299857.54859089083,-42582.33887296778,-80.85592340726255,36.56878953685375
61,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000061,397.3108364042519,397,8432.079434167574,0.0471189627073852,11043702.295019535,4.263997294407205,93.17802263274824,-308585.6990496188,-42276.67463703228,-80.95364678951019,36.56877760170404
62,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000062,24.936374461407784,25,8432.079434167574,0.0029573220527742,4960980.33242748,1.9154452148368704,13.018578797374529,-316737.67659901554,-41963.99173758728,-81.04493016517569,36.5689399207502
63,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000063,0.3576466097321266,0,8432.079434167574,4.2414995319293256e-05,202599.0625642973,0.0782239353747512,4.572086638427632,-322821.6381968364,-41704.70177007349,-81.11306754983487,36.569249704720114
64,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000064,833.4298361163952,833,8432.079434167574,0.0988403682179818,19424910.827519983,7.499999999999993,111.1239781488528,-214129.01286843032,-39437.44438062941,-79.89781475684634,36.62014505141662
